"kills","assists","damageDealt","timeSurvived","wins","cluster"
0,0,0,0,0,"1"
294,51,39962.54,152260.89,8,"1"
2369,3,214896.19,368983.62,33,"1"
143,2,16655.61,120637.586,4,"1"
1699,297,201449.2,909281.06,46,"1"
12007,4454,1660370.1,7423113,496,"4"
0,0,0,0,0,"1"
1032,257,139329.86,323734.9,22,"1"
238,0,22852.105,35995,9,"1"
20,0,2950.086,10421,0,"1"
0,0,0,0,0,"1"
2013,725,296782.94,820633.44,48,"2"
0,0,0,0,0,"1"
5389,1132,622137.4,732879.25,36,"2"
0,0,0,0,0,"1"
2859,253,320638,340577.44,2,"1"
0,0,0,0,0,"1"
2477,637,306878.2,409192.28,27,"2"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
193,47,28352.816,86482.59,4,"1"
0,0,0,0,0,"1"
754,141,121503.74,403444.44,9,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
779,247,113533.58,1239522.9,42,"1"
3947,1075,642357.25,2132102.2,121,"2"
0,0,0,618,0,"1"
3397,477,439810.94,686596.2,28,"2"
0,0,0,146.298,0,"1"
3278,142,393369.25,615141,28,"2"
60,1,6157.6606,8491,0,"1"
6041,894,844613.2,1263467.2,77,"2"
56,6,7674.9316,30798,0,"1"
465,87,61904.203,83806,12,"1"
254,0,23622.24,27567,7,"1"
648,0,81325.92,111214,2,"1"
2750,230,258644.11,256962.31,60,"1"
996,235,152370.02,206124,15,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1330,87,172908.97,941064.75,46,"1"
0,0,0,0,0,"1"
793,220,114557.03,426862.06,34,"1"
0,0,0,0,0,"1"
759,190,118530.695,298901.2,17,"1"
0,0,0,0,0,"1"
45,4,5853.7715,29661.895,0,"1"
21,2,1843.1406,3215,1,"1"
1786,537,297606.9,823440.8,55,"2"
0,0,0,0,0,"1"
2451,538,304025.03,571936.25,57,"2"
0,0,0,0,0,"1"
1092,34,131357.94,250522.77,9,"1"
112,14,10953.186,29499.266,2,"1"
5634,1209,782833,1321479.6,82,"2"
0,0,0,0,0,"1"
1957,450,316313.62,892969.25,26,"2"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
7292,2015,1292590.8,3693106.8,153,"4"
0,0,0,0,0,"1"
78,14,12041.12,28362,0,"1"
0,0,0,0,0,"1"
31,0,3956.3418,6534,0,"1"
154,7,18434.482,28434,0,"1"
318,111,48523.902,128681,8,"1"
314,50,45548.242,149865.61,2,"1"
777,194,116471.38,360763.5,18,"1"
340,24,44714.17,164089.84,3,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
2266,564,340047.4,882905.7,57,"2"
0,0,0,0,0,"1"
722,154,106226.74,321866.34,14,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
5467,2118,846091,2606999,178,"2"
0,0,0,0,0,"1"
101,28,12904.358,21493,4,"1"
