cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins,level,season
3,account.48aa313cb77748f4a2ce175247db0fca,87,560,191,2,0,27867.445,33,47,450,0,176,350.34985,1647,190,4,1647,0,NA,56,425018.06,4,9,198,7,420.41513,2,182964,101,4,206356.89,1139,2,1,0,11,Beginner,n-5
4,account.4c7cf45759134b58bffeaa7f2d0a82b3,270,2221,1035,64,3,165765.33,43,223,1008,0,1060,647.25165,1567,767,4,1567,0,NA,180,1026170.7,17,11,783,8,532.3915,1,507002,254,15,592301.44,4284,64,3,0,30,Intermediate,n-5
4,account.1d8573b20b8b42049a4f22640101a7f8,209,1623,674,8,1,99460.83,27,158,1128,0,710,364.95126,1693,413,6,1693,0,NA,181,630207.56,15,24,447,5,660.4481,2,366366,214,10,418903.84,3178,142,10,0,48,Intermediate,n-5
4,account.6047dff035f5466fa22506b9b995f0a4,110,774,314,14,1,45863.234,22,71,374,0,296,490.09875,1630,206,3,1630,0,NA,74,206534.84,3,7,214,3,698.65234,3,156891,86,5,173556.64,1239,30,1,0,12,Intermediate,n-5
2,account.b0eff81e259c4831be823d3070f0617f,419,1708,790,4,0,117449.73,50,226,1159,0,841,421.02368,1578,487,4,1578,0,NA,160,712867.2,3,9,512,4,342.95062,1,349419,217,17,494356.2,3043,4,0,0,51,Pro,n-5
2,account.fa3b5a87ac2f47bdb690d79f4a964f10,557,2578,1277,21,2,190498.98,52,349,1722,0,1253,385.67383,1701,846,3,1701,0,NA,265,1025285.5,4,13,878,11,1932.413,17,590436,299,34,750463.56,4695,116,7,0,51,Pro,n-5
4,account.d3d5b2b124c448e29c7b85ccaa16820f,110,1059,252,11,1,41744.984,20,57,626,0,237,640.5744,1718,246,3,1718,0,NA,58,552494.06,2,7,258,2,171.6608,3,233404,136,11,236038.48,1578,56,5,0,20,Intermediate,n-5
4,account.9552b63073d748c98eebb8f6fafe3dbd,147,602,531,9,1,81545.91,57,120,646,0,632,358.328,1510,428,3,1510,0,NA,83,79414.945,0,12,456,5,1836.82,0,274661,183,0,353210.03,1927,9,1,0,45,Intermediate,n-5
4,account.32205309958f47cc8122b162f493af23,140,439,319,27,1,49098.953,27,68,545,0,408,490.85547,1635,207,6,1635,0,NA,70,348454.6,25,18,224,9,510.38403,3,186679,125,4,200632.89,1548,40,3,0,27,Intermediate,n-5
3,account.f6e29a3d7fff437d8bff77c7d993f630,1,7,6,1,0,582.4,4,1,1,0,3,304.90305,1187,4,1,1187,0,NA,1,2874.167,1,1,4,0,0,0,1952,1,0,2612.7092,24,2,0,0,0,Beginner,n-5
