cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
3,account.897c2179555440ab8619ec0fb0542a62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.edde0d05c1e344a4b0bd879c8d96acc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.e124925fbf79419dbf6ca565cc3184e5,0,0,1,0,0,100,1,0,0,0,0,0,181,1,0,181,0,,0,0,0,0,1,0,0,0,181,0,0,89.443016,1,0,0,0,0
3,account.10c0505abae44188a28f6b8bfd161371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.1c222ee17b7749af97e1718cb23f64b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.b43ff0d3777544acbf17270ee24da53b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.ed7515e8ddeb404c807af2cf002c35ec,1,4,2,2,0,447.7517,1,0,2,0,2,24.740562,976,3,1,976,0,,4,0,0,2,3,0,0,0,1471,1,0,2892.5488,14,2,0,0,0
4,account.f772931ab9ea4fafa350397bc0ff1b09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.7b69d9dc8fee40439262ea6936f088b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.491cb9decd5842b3a4a60f884f14c156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
